dataset,baseline_type,alpha,repeat,planned_query_start,planned_query_end,actual_query_start,actual_query_end,query_lat_min,query_lat_max,query_lon_min,query_lon_max,baseline_temporal_window_seconds,baseline_lat_window,baseline_lon_window,scaled_temporal_window_seconds,scaled_lat_window,scaled_lon_window,temporal_window_hours,lat_window_size,lon_window_size,time_clamped,lat_clamped,lon_clamped,was_clamped,unclamped_query_start,unclamped_query_end,unclamped_query_lat_min,unclamped_query_lat_max,unclamped_query_lon_min,unclamped_query_lon_max,actual_temporal_scaling_factor,true_result_size,selectivity,query_center_lat,query_center_lon,query_center_ts,center_cell_count,tree_count_touched,bucket_ids,day_count_spanned,is_intra_tree,is_cross_tree,is_intra_day,is_cross_day,requested_max_alpha,actual_max_intra_tree_alpha,intra_tree_alpha16_crossed,selection_policy
foursquare,intra_tree,1,1,2012-10-03 14:30:24+00,2012-10-03 15:30:24+00,2012-10-03 14:30:24+00,2012-10-03 15:30:24+00,35.69407950,35.70306262,139.77091210,139.78197370,3600.000000,0.0089831117,0.0110616094,3600.000000,0.0089831117,0.0110616094,1.000000,0.0089831117,0.0110616094,0,0,0,0,2012-10-03 14:30:24+00,2012-10-03 15:30:24+00,35.69407950,35.70306262,139.77091210,139.78197370,1.000000,1,0.0000020000,35.69857106,139.77644290,2012-10-03 15:00:24+00,26517,1,168,1,1,0,1,0,16,236,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,2,1,2012-10-03 14:00:24+00,2012-10-03 16:00:24+00,2012-10-03 14:00:24+00,2012-10-03 16:00:24+00,35.68958795,35.70755417,139.76538129,139.78750451,3600.000000,0.0089831117,0.0110616094,7200.000000,0.0179662235,0.0221232188,2.000000,0.0179662235,0.0221232188,0,0,0,0,2012-10-03 14:00:24+00,2012-10-03 16:00:24+00,35.68958795,35.70755417,139.76538129,139.78750451,2.000000,3,0.0000060000,35.69857106,139.77644290,2012-10-03 15:00:24+00,26517,1,168,1,1,0,1,0,16,236,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,4,1,2012-10-03 13:00:24+00,2012-10-03 17:00:24+00,2012-10-03 13:00:24+00,2012-10-03 17:00:24+00,35.68060484,35.71653728,139.75431968,139.79856612,3600.000000,0.0089831117,0.0110616094,14400.000000,0.0359324470,0.0442464376,4.000000,0.0359324470,0.0442464376,0,0,0,0,2012-10-03 13:00:24+00,2012-10-03 17:00:24+00,35.68060484,35.71653728,139.75431968,139.79856612,4.000000,7,0.0000140000,35.69857106,139.77644290,2012-10-03 15:00:24+00,26517,1,168,1,1,0,1,0,16,236,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,8,1,2012-10-03 11:00:24+00,2012-10-03 19:00:24+00,2012-10-03 11:00:24+00,2012-10-03 19:00:24+00,35.66263861,35.73450351,139.73219646,139.82068934,3600.000000,0.0089831117,0.0110616094,28800.000000,0.0718648940,0.0884928751,8.000000,0.0718648940,0.0884928751,0,0,0,0,2012-10-03 11:00:24+00,2012-10-03 19:00:24+00,35.66263861,35.73450351,139.73219646,139.82068934,8.000000,11,0.0000220000,35.69857106,139.77644290,2012-10-03 15:00:24+00,26517,1,168,1,1,0,1,0,16,236,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,16,1,2012-10-03 07:00:24+00,2012-10-03 23:00:24+00,2012-10-03 07:00:24+00,2012-10-03 23:00:24+00,35.62670617,35.77043595,139.68795002,139.86493578,3600.000000,0.0089831117,0.0110616094,57600.000000,0.1437297880,0.1769857503,16.000000,0.1437297880,0.1769857503,0,0,0,0,2012-10-03 07:00:24+00,2012-10-03 23:00:24+00,35.62670617,35.77043595,139.68795002,139.86493578,16.000000,26,0.0000520000,35.69857106,139.77644290,2012-10-03 15:00:24+00,26517,1,168,1,1,0,1,0,16,236,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,1,2,2012-07-21 21:55:10+00,2012-07-21 22:55:10+00,2012-07-21 21:55:10+00,2012-07-21 22:55:10+00,35.69350342,35.70248654,139.76571994,139.77678146,3600.000000,0.0089831117,0.0110615295,3600.000000,0.0089831117,0.0110615295,1.000000,0.0089831117,0.0110615295,0,0,0,0,2012-07-21 21:55:10+00,2012-07-21 22:55:10+00,35.69350342,35.70248654,139.76571994,139.77678146,1.000000,2,0.0000040000,35.69799498,139.77125070,2012-07-21 22:25:10+00,26517,1,143,1,1,0,1,0,16,116,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,2,2,2012-07-21 21:25:10+00,2012-07-21 23:25:10+00,2012-07-21 21:25:10+00,2012-07-21 23:25:10+00,35.68901187,35.70697809,139.76018917,139.78231223,3600.000000,0.0089831117,0.0110615295,7200.000000,0.0179662235,0.0221230590,2.000000,0.0179662235,0.0221230590,0,0,0,0,2012-07-21 21:25:10+00,2012-07-21 23:25:10+00,35.68901187,35.70697809,139.76018917,139.78231223,2.000000,2,0.0000040000,35.69799498,139.77125070,2012-07-21 22:25:10+00,26517,1,143,1,1,0,1,0,16,116,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,4,2,2012-07-21 20:25:10+00,2012-07-22 00:25:10+00,2012-07-21 20:25:10+00,2012-07-22 00:25:10+00,35.68002876,35.71596120,139.74912764,139.79337376,3600.000000,0.0089831117,0.0110615295,14400.000000,0.0359324470,0.0442461179,4.000000,0.0359324470,0.0442461179,0,0,0,0,2012-07-21 20:25:10+00,2012-07-22 00:25:10+00,35.68002876,35.71596120,139.74912764,139.79337376,4.000000,18,0.0000360000,35.69799498,139.77125070,2012-07-21 22:25:10+00,26517,1,143,2,1,0,0,1,16,116,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,8,2,2012-07-21 18:25:10+00,2012-07-22 02:25:10+00,2012-07-21 18:25:10+00,2012-07-22 02:25:10+00,35.66206253,35.73392743,139.72700458,139.81549682,3600.000000,0.0089831117,0.0110615295,28800.000000,0.0718648940,0.0884922358,8.000000,0.0718648940,0.0884922358,0,0,0,0,2012-07-21 18:25:10+00,2012-07-22 02:25:10+00,35.66206253,35.73392743,139.72700458,139.81549682,8.000000,39,0.0000780000,35.69799498,139.77125070,2012-07-21 22:25:10+00,26517,1,143,2,1,0,0,1,16,116,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
foursquare,intra_tree,16,2,2012-07-21 14:25:10+00,2012-07-22 06:25:10+00,2012-07-21 14:25:10+00,2012-07-22 06:25:10+00,35.62613009,35.76985987,139.68275846,139.85974294,3600.000000,0.0089831117,0.0110615295,57600.000000,0.1437297880,0.1769844717,16.000000,0.1437297880,0.1769844717,0,0,0,0,2012-07-21 14:25:10+00,2012-07-22 06:25:10+00,35.62613009,35.76985987,139.68275846,139.85974294,16.000000,90,0.0001800000,35.69799498,139.77125070,2012-07-21 22:25:10+00,26517,1,143,2,1,0,0,1,16,116,0,adaptive bucket interior; alpha=16 time window kept within one tree when possible; 1km baseline spatial window
